Country,N,Mean,Mean_SE,median,Gini,Gini_SE,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,HC_20,HC_50,HC_80,HC_SE_20,HC_SE_50,HC_SE_80,CI_lower_20,CI_lower_50,CI_lower_80,CI_upper_20,CI_upper_50,CI_upper_80
lt14,4810,10341.34991,152.64841,7219.710022,0.450131792,0.01163643,1.778212066,4.645605154,8.313828999,13.24987037,19.49449657,27.34841782,37.40600508,50.3699157,67.57665423,100,0.051307481,0.349805758,0.562451969,0.003181124,0.006876422,0.007152915,0.045072593,0.336328219,0.548432514,0.057542369,0.363283297,0.576471424
lt15,4763,11023.01192,149.36111,7930.120117,0.438597838,0.00646253,1.720705764,4.544624992,8.318614348,13.35665332,19.7543313,27.99295857,38.47698311,51.74934397,69.27824646,100,0.05428145,0.344755904,0.542311281,0.003282966,0.006886794,0.007218869,0.047846955,0.331258035,0.528162559,0.060715945,0.358253773,0.556460003
lt16,4909,11735.97844,158.81116,8513.690186,0.447416922,0.00706214,1.6080603,4.319193874,7.968754828,12.99448669,19.42271383,27.57293496,37.81478514,50.83227577,68.37440983,100,0.064942469,0.34830207,0.54328812,0.003517119,0.006799934,0.007109511,0.058049043,0.334974445,0.529353734,0.071835895,0.361629695,0.557222506
lt17,4874,12952.2477,178.49146,9524,0.445706344,0.00632567,1.596586572,4.290921664,7.925742389,13.03321832,19.56530866,27.74865903,38.06523448,51.10496348,68.51127159,100,0.065092751,0.341744331,0.545597153,0.003533522,0.006793682,0.007132041,0.058167175,0.328428959,0.53161861,0.072018327,0.355059703,0.559575696
lt18,5101,14115.73371,177.89476,10414.10962,0.435495308,0.0055665,1.616594111,4.468725689,8.269080872,13.4737175,20.10279814,28.42078606,38.78711203,51.96592176,69.40113061,100,0.063299461,0.334014624,0.533345771,0.003409359,0.006603701,0.006985128,0.05661724,0.321071607,0.519655172,0.069981682,0.346957641,0.54703637
lt19,5126,15949.98946,205.45514,11960.25002,0.431051881,0.00638306,1.749925453,4.629931391,8.497748462,13.89988591,20.64420619,29.03889309,39.30817543,52.22957289,69.09432465,100,0.053130439,0.321229315,0.526664817,0.003132763,0.006521985,0.006973684,0.046990337,0.308446458,0.512996648,0.059270541,0.334012172,0.540332986
lt20,5632,17692.90723,220.38402,13157.93007,0.432562066,0.00611995,1.787580604,4.660361175,8.551031053,13.86931621,20.55712067,28.82028029,39.0881558,52.10906894,69.00318926,100,0.052850477,0.326462261,0.534003002,0.002981278,0.006248361,0.006647098,0.04700728,0.314215698,0.520974929,0.058693674,0.338708824,0.547031075
lt21,5932,18190.48886,232.85775,13031.00024,0.440126455,0.00631347,1.791825567,4.66814802,8.507597642,13.68778295,20.19636813,28.27102178,38.3693388,51.16107104,68.29127892,100,0.058034686,0.338769951,0.546560274,0.003035713,0.006145089,0.006463656,0.052084798,0.326725798,0.533891741,0.063984574,0.350814104,0.559228807
lu85,1790,23144.66681,303.92032,21080.96407,0.289601844,0.00556596,3.13564166,7.96512834,14.10208997,21.40084493,29.84231595,39.51170033,50.4683504,63.10091306,78.18923978,100,0.008139709,0.156783091,0.419412382,0.002123749,0.008593949,0.011663476,0.003977238,0.139939261,0.396552389,0.01230218,0.173626921,0.442272375
lu86,1649,25996.71489,417.99371,22895.54464,0.30355587,0.00821939,3.057658813,7.776129473,13.78862258,20.86912852,29.0922844,38.53102419,49.3011849,61.8875499,76.97722211,100,0.010203118,0.175531412,0.425813016,0.002474738,0.009368157,0.012176594,0.005352721,0.157170162,0.401947331,0.015053515,0.193892662,0.449678701
lu87,1694,28049.51239,481.16706,24258.85984,0.319512945,0.00855531,2.920879979,7.497922219,13.37262909,20.32247694,28.32906351,37.52098827,47.95250437,60.34933724,75.53465515,100,0.009346798,0.179078929,0.447170892,0.002337952,0.009315716,0.012080239,0.004764497,0.160820461,0.423494059,0.013929099,0.197337397,0.470847725
lu88,1663,29232.99401,489.279,25252.11959,0.315552645,0.00797254,3.036013546,7.689723666,13.62781086,20.53645284,28.53008826,37.72072245,48.208957,60.5166035,75.68415418,100,0.0031644,0.172505823,0.448778485,0.001377245,0.009264846,0.012196437,0.000465049,0.154347058,0.424873908,0.005863751,0.190664588,0.472683062
lu89,1677,32057.33195,661.5065,27031.89591,0.330258507,0.01123887,2.94125193,7.507395432,13.33562161,20.19575394,28.06735129,37.06158726,47.23375774,59.03478379,73.73869021,100,0.003226609,0.181650476,0.464928766,0.001384857,0.009415018,0.012179585,0.00051234,0.16319738,0.441057219,0.005940878,0.200103572,0.488800313
lu90,1955,33414.46566,467.77983,29449.75014,0.304732389,0.00647757,3.079507047,7.77111467,13.78633908,20.91251673,29.18023912,38.52510402,49.14265491,61.5446469,76.62890248,100,0.002063339,0.168874801,0.423086321,0.001026274,0.008473099,0.011173688,5.18785746680354e-05,0.152267833,0.401186296,0.004074799,0.185481769,0.444986346
lu91,1921,34690.37547,453.27973,30261.84931,0.297253263,0.00548014,3.150514069,8.101841484,14.16235944,21.26310615,29.46250806,38.79881392,49.57357492,62.17447886,77.36647084,100,0.004923276,0.147539684,0.431688717,0.001596951,0.008091477,0.011300946,0.001793309,0.13168068,0.40953927,0.008053243,0.163398688,0.453838164
lu92,1890,36953.0676,509.89114,32220.10896,0.299619382,0.00619238,3.230734339,8.07745314,14.13253919,21.15899188,29.32013783,38.63786773,49.44066906,61.98614813,77.08053911,100,0.003894708,0.168193435,0.432080804,0.001432713,0.008603691,0.011394489,0.001086642,0.151330511,0.409748016,0.006702774,0.185056359,0.454413592
lu93,1812,38381.02511,510.4514,33614.36127,0.29426719,0.0056311,3.334070821,8.17278383,14.20649189,21.29060804,29.49352669,38.92752944,49.86980905,62.55400641,77.61473423,100,0.003115791,0.166288142,0.430385845,0.001309265,0.008747008,0.011631622,0.00054968,0.149144321,0.407588285,0.005681902,0.183431963,0.453183405
lu94,2977,38034.00756,432.18391,32535.9253,0.31920949,0.00431203,3.098132495,7.602787231,13.16735919,19.8377375,27.71071634,36.94944961,47.81167699,60.70965863,76.37176042,100,0.00624911,0.18676743,0.462958646,0.001444303,0.007142801,0.009138724,0.003418327,0.172767798,0.445047077,0.009079893,0.200767062,0.480870215
lu95,2472,39460.33401,479.89886,33741.50586,0.312673968,0.00463181,3.168855934,7.833349446,13.48259961,20.21524192,28.15540555,37.37982057,48.26827856,61.14326895,76.78489111,100,0.005268409,0.177842177,0.458491417,0.001456024,0.007690786,0.010021761,0.002414655,0.162768513,0.438849126,0.008122163,0.192915841,0.478133708
lu96,2651,39847.49243,475.59478,33733.42453,0.314387004,0.00470366,3.15574024,7.78896728,13.48381561,20.16025911,28.00566976,37.25401273,48.14747188,61.00402607,76.69512231,100,0.004788828,0.175669746,0.461382241,0.00134081,0.007390848,0.009682018,0.002160888,0.161183951,0.442405833,0.007416768,0.190155541,0.480358649
lu97,2523,41347.69448,499.8612,35113.62128,0.311801915,0.00476004,3.26185495,7.956993485,13.64394479,20.3493712,28.20736375,37.44686179,48.31768962,61.09257824,76.62844454,100,0.003438268,0.172005841,0.461615247,0.001165369,0.007513229,0.009924938,0.001154187,0.157280183,0.442162725,0.005722349,0.186731499,0.481067769
lu98,2553,42331.59513,522.37995,35547.93072,0.314373503,0.00498053,3.182191317,7.878342268,13.64470497,20.40524837,28.25630818,37.33085459,48.0327606,60.78280544,76.27752685,100,0.004912571,0.176992388,0.464584499,0.001383756,0.007553597,0.009870802,0.002200458,0.16218761,0.445238083,0.007624684,0.191797166,0.483930915
lu99,2374,43847.50306,569.68452,37184.02795,0.31062695,0.00573498,3.269934418,7.998120107,13.75611002,20.60715185,28.49751701,37.64766333,48.40660932,61.1050999,76.40532127,100,0.003206066,0.17665602,0.463022777,0.001160242,0.007827346,0.010233843,0.000932034,0.161314704,0.442964813,0.005480098,0.191997336,0.483080741
